alert_id	7658479
alert_name	new_audience_member
created_at	2023-02-13 19:50:07
email	admin@admin.com
event_time	2023-12-01 08:41:53
marketing_consent	0
p_signature	jodameLVHN8mA25eJMC6uSvzbSBODAByCwelLz21QusY8KWGtYgtW4nfIEtUIT8OUbWIbSZGsaD+s+vTVVb4jgl6aoPbQWMBeT1b4xfYDDf2AlSIbSHX1bqtqoHamQKNtiFoE43UpL1RiVuFl9PTNQR4Oww0VvqvQPJbLwOpGz4/Nua/Gn3rRMTSj8KVrSzly5hbfZS8aL28rlPNTLYOksT6mQv3TRT1qbuk7k9h2LRzSTwCSndYeyhFbn0lhrvNkI4wLt/x3mbuk67E9XrQJEO020o9NOqMUSN1LWbkqrEcjnGc/L9nHq+k9CuSbE89Zo5iZz5K7tGt9fEHxt7+CDcDBpaSX2UmgWzG697ztXQrynD88bqdWkFks0JexTOh2sS5/FGpfZEDy54EAwyz+B/NQhyfFbEztNRYIlRc91L9RRR63WsRXkuLU+Oi40C7qkMcMpsaUPEV5uEK2kv92AjtkRvq8qgt6gohkPEe5qrj8wOXmLdnDXfMkmsAnWdD/rG07Wg4IhYuhUrvZHtw9wbM76Cdoz5BqwzA9+OEh6aI4scQS824vTxWeKRW5OPYcQRhpBX/PgX9d9MVhbVJm0Qk1gweSyiA66YWEHjoqUHVtU5f6spf1ljfo8KP89QdwIGEYvBYSsWCYROIwaV58Z+AhoKhrfb/E7SIi3bzmqA=
products	44874,44883,44978
source	Checkout
subscribed	0
user_id	21526
