alert_id	7658438
alert_name	new_audience_member
created_at	2023-02-13 19:50:07
email	admin@admin.com
event_time	2023-12-01 08:25:06
marketing_consent	0
p_signature	1iVNwEHsS0V92NrXxe63yb5FbNZZz5jckFYYraWqUJf0cg6mNZ6cjU2xfDK3EZ6S58X/4OxQMhEMgFfwjD8q9acd4kGZ2eNNL1ThyHH0STOdsqRKpI2sK0NjZD4Eogq2IpNDqYW6nBzTkLO7yb4jujZDQ52cGkF60NMtl/ypUXzO/EhbcTHlDN9Mp049B4mPQ+WeRPPNgAZ7iFi96zZ9EKBGAAqXMpfyzE4IFzxiIU/v8Y6oC9IKLrkcXK3eCE/aTxzvHCu8h0SFxCYyAPb2CG5BRVwQF5R3okDaxonpPkc6tonEFqNopm1geejyhIwi0ZUskBhvNasEriiH4KbWBx1HvuL4ARfV8XMhT6bNvQA6/GxNHKPP4zI0CY48Pisq/125MUmok8oC17tWOyjecIV9KX8oFSqvnrgcn4SLBeTIfC0MOYuJy8mp5nNGDvIbOpT5g2iMDI3gwqdf4fwf+U9SHkTwzx54vtYSpRn+zwpOePCmHnPZ9qGYLBa3u4O6z/HjQzEXK8cO0lXCXqoxNoWSVZIBpaXydcRL+PzPkLooNG2SPJMBi9iG7wTKQJjuWiZnuVy9sRjId4TLfnnwtkmZ97kKjf8cNpDUCz1c70V4oz1SkAfmEGs1UJknTEBTKlIbAcvNnp4Z3JlIpYWYdx5VYh+3LA/KXvMJIQ4s9uo=
products	44874,44883,44978
source	Checkout
subscribed	0
user_id	21526
